Elenco delle banche convenzionate ordinate per denominazione
Denominazione	Codice ABI
BANCA DI CREDITO COOPERATIVO DI AVETRANA S.C.R.L. 	8354
BANCA DI CREDITO COOPERATIVO DI BARLASSINA S.COOP.	8374
BANCA DI CREDITO COOPERATIVO DI BASCIANO 	8149
BANCA DI CREDITO COOPERATIVO DI BELLEGRA S.C.  	8381
BANCA DI CREDITO COOPERATIVO DI BRESCIA S.C.	8692
BANCA DI CREDITO COOPERATIVO DI CAGLIARI 	7096
BANCA DI CREDITO COOPERATIVO DI CANOSA LOCONIA 	8606
BANCA DI CREDITO COOPERATIVO DI CHERASCO 	8487
BANCA DI CREDITO COOPERATIVO DI CONVERSANO S.C.	8503
BANCA DI CREDITO COOPERATIVO DI FANO S.C.	8519
BANCA DI CREDITO COOPERATIVO DI FLUMERI S.C.	8553
BANCA DI PISA E FORNACETTE C.C. S.C.P.A.	8562
BANCA DI CREDITO COOPERATIVO DI GAMBATESA S.C. 	8572
B.C.C. VALDOSTANA S.C.	8587
BANCA DI CREDITO COOPERATIVO DI LEVERANO S.C.  	8603
B.C.C. DI LEZZENO (COMO) S.C.	8618
BANCA DI CREDITO COOPERATIVO DI LODI S.C.	8794
BANCA DI CREDITO COOPERATIVO DI MARINA DI GINOSA  	8688
BANCA DI CREDITO COOPERATIVO DI MILANO - SOC.COOP.	8453
BANCA DI CREDITO COOPERATIVO DI MOZZANICA S.C. 	8679
BANCA DI CREDITO COOPERATIVO DI OSTRA VETERE S.C. 	8705
BANCA DI CREDITO COOPERATIVO DI PACHINO S.C.	8713
BANCA DI CREDITO COOPERATIVO DI PONTASSIEVE S.C.  	8736
BANCA DI CREDITO COOPERATIVO DI PUTIGNANO S.C. 	7113
- B.C.C. DI RECANATI E COLMURANO S.C.	8765
BANCA DI CREDITO COOPERATIVO DI ROMA  	8327
BANCA TERRITORI DEL MONVISO S.C.	8833
BANCA DI CREDITO COOPERATIVO DI SANTERAMO IN COLLE	8844
- B.C.C. DI SCAFATI E CETARA S.C.	8855
BANCA DI CREDITO COOPERATIVO MAGNA GRECIA S.C. 	7066
BANCA DI CREDITO COOPERATIVO VALLE DEL TORTO S.C. 	8601
BANCA DI CREDITO COOPERATIVO VENEZIA GIULIA 	8877
B.C.C. CARATE BRIANZA E TREVIGLIO S.C.	8440
BANCA DI CREDITO PELORITANO S.P.A. 	3426
BANCA DI CREDITO POPOLARE S. C. PER AZIONI  	5142
BANCA DI FILOTTRANO C.C. DI FILOTTRANO E CAMERANO 	8549
BANCA DI IMOLA S.P.A.  	5080
BANCA DI PESARO CREDITO COOPERATIVO S.C. 	8826
BANCA DI PESCIA E CASCINA CREDITO COOPERATIVO S.C.	8358
BANCA DI PIACENZA S.C. PER AZIONI  	5156
BANCA DI RIPATRANSONE E DEL FERMANO C.C. S.C.  	8769
BANCA DI UDINE CREDITO COOPERATIVO S.C.  	8715
BANCA DON RIZZO C.C. DELLA SICILIA OCCIDENTALE S.C	8946
CREDEM EUROMOBILIARE PRIVATE BANKING S.P.A.	3250
BANCA FIDEURAM S.P.A.  	3296
BANCA FINANZIARIA INTERNAZIONALE S.P.A.  	3266
FINECOBANK S.P.A.	3015
BANCA FINNAT EURAMERICA S.P.A.	3087
BANCA GENERALI	3075
BANCA IFIS S.P.A.	3205
BANCA INVESTIS S.P.A.	3043
ILLIMITY BANK S.P.A.	3395
BANCA LAZIO NORD CREDITO COOPERATIVO - S.C. 	8931
BANCA MACERATA S.P.A.  	3317
BANCA MALATESTIANA CREDITO COOPERATIVO S.C. 	7090
BANCA MEDIOLANUM S.P.A.	3062
BANCA MONTEPAONE CREDITO COOPERATIVO S.C.	8126
BANCA NAZIONALE DEL LAVORO S.P.A.	1005
BANCA PASSADORE & C.	3332
BANCA PATRIMONI SELLA & C. S.P.A.	3211
BANCA PER IL TRENTINO ALTO ADIGE C.C. S.C.  	8304
BANCA POP. DELLE PROVINCE MOLISANE S.C.P.A. 	5033
BANCA POPOLARE DEL CASSINATE 	5372
BANCA POPOLARE DEL FRUSINATE S.C.P.A. 	5297
BANCA POPOLARE DEL LAZIO  	5104
BANCA POPOLARE DELL'ALTO ADIGE S.P.A. 	5856
BANCA POPOLARE DI CORTONA S.C.P.A. 	5496
BANCA POPOLARE DI FONDI S.C. 	5296
BANCA POPOLARE DI LAJATICO S.C.P.A.	5232
BANCA POPOLARE DI PUGLIA E BASILICATA 	5385
BANCA POPOLARE DI SONDRIO S.P.A.	5696
BANCA POPOLARE PUGLIESE	5262
BANCA POPOLARE COMMERCIALE S.P.AZIONI	5602
BANCA PREALPI SANBIAGIO CREDITO COOPERATIVO S.C.  	8904
BANCA PRIVATA LEASING S.P.A. 	3417
BANCA PROFILO S.P.A.	3025
BANCA PROGETTO S.P.A.	5015
BANCA PROMOS S.P.A. 	3265
BANCA REALE S.P.A.  	3138
BANCA SAN FRANCESCO C.C. S.C.	8969
BANCA SANTA GIULIA S.P.A. 	3367
BANCA SELLA S.P.A.  	3268
BANCA SISTEMA S.P.A.	3158
BANCA STABIESE S.P.A.  	3388
BANCA PER LO SVILUPPO DELLA COOP.NE DI CREDITO SPA	3139
BANCA UBAE S.P.A.	3598
BANCA VALSABBINA S.C.P.A  	5116
BANCA VERONESE C.C. DI CONCAMARISE S.C.  	8322
BANCA WIDIBA S.P.A. 	3442
BANCA 360 CREDITO COOPERATIVO FVG S.C.	8631
BANCO BPM S.P.A. 	5034
BANCO DI CREDITO P. AZZOAGLIO SPA  	3425
BANCO DI DESIO E DELLA BRIANZA S.P.A. 	3440
BANCO DI LUCCA E DEL TIRRENO S.P.A.	3242
BANCO DI SARDEGNA S.P.A.  	1015
BANCO FIORENTINO-MUGELLO IMPRUNETA SIGNA-C.C. S.C.	8325
BANCO MARCHIGIANO CREDITO COOPERATIVO 	8491
BANCO SANTANDER S.A.	3389
BANK OF AMERICA EUROPE DAC, SUCCURSALE DI MILANO  	3380
BARCLAYS BANK IRELAND PLC 	3051
BCC ABRUZZI E MOLISE	8968
BCC BASILICATA C.C. DI LAURENZANA E COMUNI LUCANI 	8597
BCC CAMPANIA CENTRO-CASSA RURALE ED ARTIGIANA  	8378
BCC DI SAN MARCO DEI CAVOTI E DEL SANNIO - CALVI  	8997
BCC FELSINEA-BANCA DI CREDITO COOPERATIVO DAL 1902	8472
BCC FINANCING S.P.A.	10640
BCC VENETA CREDITO COOPERATIVO S.C.	8807
BDM BANCA S.P.A. 	5424
BENE BANCA CRED. COOPERATIVO DI BENE VAGIENNA S.C.	8382
BIBANCA S.P.A 	5676
BLU BANCA S.P.A. 	3441
BNP PARIBAS SUCCURSALE ITALIA	3479
BPER BANCA S.P.A.	5387
C.C. ROMAGNOLO B.C.C. DI CESENA E GATTEO S.C.  	7070
C.C. VALDARNO FIORENTINO BANCA DI CASCIA S.C.  	8457
C.R.A. DELL'AGRO PONTINO  	8738
C.R.A. DI BINASCO - CREDITO COOPERATIVO  	8386
C.R.A. DI BORGO SAN GIACOMO CREDITO COOPERATIVO	8393
C.R.A. DI CASTELLANA GROTTE C.C. S.C. 	8469
CACEIS BANK	3438
CASSA CENTRALE BANCA CRED. COOP. ITALIANO S.P.A.  	3599
CASSA CENTRALE RAIFFEISEN DELL'ALTO ADIGE S.P.A.  	3493
CASSA DI RISPARMIO DI ASTI S.P.A.	6085
CASSA DI RISPARMIO DI BOLZANO SPA  	6045
CASSA DI RISPARMIO DI FERMO  S.P.A.	6150
CASSA DI RISPARMIO DI FOSSANO SPA  	6170
CASSA DI RISPARMIO DI ORVIETO S.P.A.  	6220
CASSA DI RISPARMIO DI VOLTERRA S.P.A.	6370
CASSA DI SOVVENZIONI E RISPARMIO PERSONALE BKI 	5824
CASSA LOMBARDA S.P.A.  	3488
